"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"70526";"2";"0";"Adler";"Alfred";"Praxis und Theorie der Individualpsychologie";"Bergmann";"München";"1930";"";"";"";"";"Adler, Alfred: Praxis und Theorie der Individualpsychologie. München: Bergmann 1930. "
"70527";"2";"2";"Bruno";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Bruno: Sämtliche Schriften."
"70528";"2";"2";"Felix";"Adler";"Der Moralunterricht der Kinder";"Dümmler";"Berlin";"1894";"";"";"";"";"Adler, Felix: Der Moralunterricht der Kinder. Berlin: Dümmler 1894."
"70529";"2";"2";"Friedrich (Wolfgang)";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Friedrich (Wolfgang): Sämtliche Schriften."
"70530";"2";"2";"Georg";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Georg: Sämtliche Schriften."
"70531";"2";"2";"Max";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Max: Sämtliche Schriften."
"70532";"2";"2";"Otto";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Otto: Sämtliche Schriften."
"70533";"2";"2";"Viktor";"Adler";"Sämtliche Schriften";"";"";"";"";"";"";"";"Adler, Viktor: Sämtliche Schriften."
"70534";"2";"2";"";"Adolf, Gustav (Pseud.)";"Syphilis. Einstundenspiel aus der Nachkriegszeit";"Jensen";"Swinemünde";"1921";"";"";"";"";"Adolf, Gustav (Pseud.): Syphilis. Einstundenspiel aus der Nachkriegszeit. Swinemünde: Jensen 1921."
"70535";"2";"2";"";"Adolphi, Max, und Arno Kettmann";"Tanzkunst und Kunsttanz";"Püttmann";"Stuttgart";"1928";"";"";"";"";"Adolphi, Max, und Arno Kettmann: Tanzkunst und Kunsttanz. Stuttgart: Püttmann 1928."
"70536";"2";"2";"Joseph";"Adrian";"Menschenweisheit und Gottesweisheit im Laufe der Jahrtausende";"Steffen";"Limburg/Lahn";"1937";"";"";"";"";"Adrian, Joseph: Menschenweisheit und Gottesweisheit im Laufe der Jahrtausende. Limburg/Lahn: Steffen 1937."
"70537";"1";"2";"A.";"Afonin";"Komsomol";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Afonin, A.: Komsomol. Moskau: Verlagsgen. ausländ. Arbeiter 1934."
"70538";"2";"2";"Gregor A.";"Agabekow";"Die Tscheka bei der Arbeit";"Union";"Stuttgart";"1932";"";"";"";"";"Agabekow, Gregor A.: Die Tscheka bei der Arbeit. Stuttgart: Union 1932."
"70539";"2";"2";"Georg";"Ahlemann";"Der Nationalismus in Abwehr. Antwort auf Ludendorffs »Weltkrieg droht«";"Selbstverl.";"Berlin";"1931";"";"";"";"";"Ahlemann, Georg: Der Nationalismus in Abwehr. Antwort auf Ludendorffs »Weltkrieg droht«. Berlin: Selbstverl. 1931."
"70540";"2";"2";"";"";"Aktkunstmappen der Körperbildungsschule Adolf Koch";"Oldenburg";"Leipzig";"1930";"";"";"";"";"Aktkunstmappen der Körperbildungsschule Adolf Koch. Leipzig: Oldenburg 1930."
"70541";"2";"2";"";"Alba (Pseud.) s. Baresel, Alfred. Albert, Charles";"Die freie Liebe";"Spohr";"Leipzig";"1900";"";"";"";"";"Alba (Pseud.) s. Baresel, Alfred. Albert, Charles: Die freie Liebe. Leipzig: Spohr 1900."
"70542";"2";"2";"Charles";"Albert";"Vaterland, Krieg u. Kaserne";"Goschke";"Berlin";"1918";"";"";"";"";"Albert, Charles: Vaterland, Krieg u. Kaserne. Berlin: Goschke 1918."
"70543";"2";"2";"M.";"Alberton";"Birobidschan, die Judenrepublik";"Prager";"Leipzig";"1932";"";"";"";"";"Alberton, M.: Birobidschan, die Judenrepublik. Leipzig: Prager 1932."
"70544";"2";"2";"Emil";"Alboldt";"Die Tragödie der alten deutschen Marine";"Dt. Verlagsges. f. Politik u. Geschichte";"Berlin";"1928";"";"";"";"";"Alboldt, Emil: Die Tragödie der alten deutschen Marine. Berlin: Dt. Verlagsges. f. Politik u. Geschichte 1928."
"70545";"2";"2";"August";"Albrecht";"Jugend-Liederbuch";"Arbeiterjugendverl.";"Berlin";"1929";"";"";"";"";"Albrecht, August: Jugend-Liederbuch. Berlin: Arbeiterjugendverl. 1929."
"70546";"2";"2";"Paul";"Albrecht";"Ein Mahnwort an die deutschen Arbeiter";"Birkner";"Berlin";"1908";"";"";"";"";"Albrecht, Paul: Ein Mahnwort an die deutschen Arbeiter. Berlin: Birkner 1908."
"70547";"2";"2";"Don Brennus";"Aléra";"Sämtliche Schriften";"";"";"";"";"";"";"";"Aléra, Don Brennus: Sämtliche Schriften."
"70548";"2";"2";"Friedrich";"Alexan";"Sämtliche Schriften";"";"";"";"";"";"";"";"Alexan, Friedrich: Sämtliche Schriften."
"70549";"2";"2";"Alex";"Alexander";"Pater Antonio";"Phoebus";"Berlin";"1929";"";"";"";"";"Alexander, Alex: Pater Antonio. Berlin: Phoebus 1929."
"70550";"1";"2";"Edgar";"Alexander";"»Der Mythus Hitler« oder »Die Entlarvung des Nationalsozialismus«";"Europa-Verl.";"Zürich";"1937";"";"";"";"";"Alexander, Edgar: »Der Mythus Hitler« oder »Die Entlarvung des Nationalsozialismus«. Zürich: Europa-Verl. 1937."
"70551";"2";"2";"G. G. L.";"Alexander";"Mobilisierung der Frauen";"Hoym";"Hamburg";"1928";"";"";"";"";"Alexander, G. G. L.: Mobilisierung der Frauen. Hamburg: Hoym 1928."
"70552";"2";"2";"L.";"Alexander";"Das große Heimweh";"Staufen-Verl.";"Göppingen";"1934";"";"";"";"";"Alexander, L.: Das große Heimweh. Göppingen: Staufen-Verl. 1934."
"70553";"2";"2";"Konrad";"Algermissen";"Germanentum u. Christentum";"Giesel";"Hannover";"1935";"";"";"";"";"Algermissen, Konrad: Germanentum u. Christentum. Hannover: Giesel 1935."
"70554";"2";"2";"";"";"Alice. Erotischer Roman,";"";"o. O.";"1926";"";"";"";"";"Alice. Erotischer Roman, o. O. 1926."
"70555";"2";"0";"";"Ali-Czeh";"Eine erotische Blütenlese";"";"";"1920";"";"";"";"";"Ali-Czeh: Das Bouquet. Eine erotische Blütenlese. o. O. u. J. 1920."
"70556";"2";"4";"";"";"Anthologie der erotischen Literatur aller Zeiten u. Völker";"Anakreon-Verl.";"Wien";"1932";"";"";"";"";"Anthologie der erotischen Literatur aller Zeiten u. Völker. Wien: Anakreon-Verl. 1932."
"70557";"2";"4";"";"";"Antikrist v Nĕmecku";"Kropáč & Kucharský";"Prag";"1936";"";"";"";"";"Antikrist v Nĕmecku. Prag: Kropáč & Kucharský 1936."
"70558";"2";"4";"";"Anti-Nautikus";"Deutschlands revolutionäre Matrosen";"Schulzke";"Hamburg";"1925";"";"";"";"";"Anti-Nautikus: Deutschlands revolutionäre Matrosen. Hamburg: Schulzke 1925."
"70559";"2";"0";"G.";"Antonow";"Die Erfahrung der KPdSU bei der Regulierung des Wachstums";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1933";"";"";"";"";"+ Antonow, G.: Die Erfahrung der KPdSU bei der Regulierung des Wachstums ... der Partei. Moskau: Verlagsgen. ausländ. Arbeiter 1933."
"70560";"2";"4";"Wladimir";"Antonow-Owsejenko";"Der Aufbau der Roten Armee in der Revolution";"Hoym";"Hamburg";"1923";"";"";"";"";"Antonow-Owsejenko, Wladimir: Der Aufbau der Roten Armee in der Revolution. Hamburg: Hoym 1923."
"70561";"1";"4";"W.";"Antonow-Saratowski";"Die proletarische Wanderbewegung unter dem Kapitalismus";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1932";"";"";"";"";"Antonow-Saratowski, W.: Die proletarische Wanderbewegung unter dem Kapitalismus. Moskau: Verlagsgen. ausländ. Arbeiter 1932."
"70562";"2";"4";"Alfred";"Apfel";"Sämtliche Schriften";"";"";"";"";"";"";"";"Apfel, Alfred: Sämtliche Schriften."
"70563";"2";"4";"";"";"Appellbuch mit SA.-Dienstabzeichenanhang";"Ritter";"Erlangen";"1933";"";"";"";"";"Appellbuch mit SA.-Dienstabzeichenanhang. Erlangen: Ritter 1933."
"70564";"1";"4";"";"Aquilar de Louisade";"Hitler, wie er wirklich ist";"Peck";"Pressburg";"1933";"";"";"";"";"Aquilar de Louisade: Hitler, wie er wirklich ist. Pressburg: Peck 1933."
"70565";"1";"4";"Louis";"Aragon";"Die Glocken von Basel";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1936";"Ed. du Carrefour";"Paris";"1936";"";"Aragon, Louis: Die Glocken von Basel. Moskau: Verlagsgen. ausländ. Arbeiter 1936. — Paris: Ed. du Carrefour 1936."
"70566";"2";"4";"";"";"Arbeit, Rote ~. Der neue Arbeiter in der Sowjetunion";"Historia-Foto";"Berlin";"1931";"";"";"";"";"Arbeit, Rote ~. Der neue Arbeiter in der Sowjetunion. Berlin: Historia-Foto 1931."
"70567";"1";"4";"";"";"Arbeit im Sowjetlande, eine Sache der Ehre und des Ruhmes";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1936";"";"";"";"";"Arbeit im Sowjetlande, eine Sache der Ehre und des Ruhmes. Moskau: Verlagsgen. ausländ. Arbeiter 1936."
"70568";"1";"4";"";"";"Arbeiter, Als sozialdemokratischer ~ im Konzentrationslager Papenburg";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Arbeiter, Als sozialdemokratischer ~ im Konzentrationslager Papenburg. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"70569";"2";"4";"";"";"Arbeiterinnen erzählen. Kampf u. Leben in Erez Jisrael";"Kedem";"Berlin";"1935";"";"";"";"";"Arbeiterinnen erzählen. Kampf u. Leben in Erez Jisrael. Berlin: Kedem 1935."
"70570";"2";"4";"";"";"Arbeiter-Internationale, Die sozialistische ~";"Vorwärts";"Berlin";"1907";"";"";"";"";"Arbeiter-Internationale, Die sozialistische ~. Berlin: Vorwärts 1907."
"70571";"2";"4";"";"";"Arbeiterkinder erobern die Welt";"Reichsarbeitsgemeinschaft d. Kinderfreunde";"Berlin";"1930";"";"";"";"";"Arbeiterkinder erobern die Welt! Berlin: Reichsarbeitsgemeinschaft d. Kinderfreunde 1930."
"70572";"2";"4";"";"";"Arbeiterparadies, Das ~";"»Die russische Wirklichkeit«";"Berlin";"1931";"";"";"";"";"Arbeiterparadies, Das ~. Berlin: »Die russische Wirklichkeit« 1931."
"70573";"2";"4";"";"";"Arbeiterschaft, Die ~ im neuen Deutschland";"Hirzel";"Leipzig";"1915";"";"";"";"";"Arbeiterschaft, Die ~ im neuen Deutschland. Leipzig: Hirzel 1915."
"70574";"1";"4";"Martin";"Arbuester";"Adolf Hitler, Blut oder Geist?";"Reso-Verl.";"Zürich";"1936";"";"";"";"";"Arbuester, Martin: Adolf Hitler, Blut oder Geist? Zürich: Reso-Verl. 1936."
"70575";"2";"4";"Martha";"Arendsee";"Kinder hungern! Kinder sterben! Wir klagen an";"Boll";"Berlin";"1932";"";"";"";"";"Arendsee, Martha: Kinder hungern! Kinder sterben! Wir klagen an. Berlin: Boll 1932."
"70576";"2";"4";"Pietro";"Aretino";"Sämtliche Schriften";"";"";"";"";"";"";"";"Aretino, Pietro: Sämtliche Schriften."
"70577";"2";"4";"Alexander";"Areuss";"Die Dirne und der Halbgott";"Enk-Verl.";"Berlin";"1922";"";"";"";"";"Areuss, Alexander: Die Dirne und der Halbgott. Berlin: Enk-Verl. 1922."
"70578";"2";"4";"L.";"Argutinskaja";"Eine Seite aus einem grossen Buch";"Verl. f. Lit. u. Politik";"Berlin";"1932";"";"";"";"";"Argutinskaja, L.: Eine Seite aus einem grossen Buch. Berlin: Verl. f. Lit. u. Politik 1932."
"70579";"2";"4";"Mahatma";"Arkaja Brahma";"Liebe und Ehe";"Rudolph";"Dresden";"1929";"";"";"";"";"Arkaja Brahma, Mahatma: Liebe und Ehe. Dresden: Rudolph 1929."
"70580";"2";"4";"Mahatma";"Arkaja Brahma";"Raja Yoga";"Rudolph";"Dresden";"1931";"";"";"";"";"Arkaja Brahma, Mahatma: Raja Yoga. Dresden: Rudolph 1931."
"70581";"1";"4";"Hamilton Fish";"Armstrong";"We or They: two worlds in conflict";"Macmillan";"London";"1937";"";"";"";"";"Armstrong, Hamilton Fish: We or They: two worlds in conflict. London: Macmillan 1937."
"70582";"2";"4";"Karl";"Arnold";"Berliner Briefe";"Simplicissimus-Verl.";"München";"1924";"";"";"";"";"Arnold, Karl: Berliner Briefe. München: Simplicissimus-Verl. 1924."
"70583";"2";"6";"Ottilie";"Baader";"Ein steiniger Weg";"Dietz";"Stuttgart";"1921";"";"";"";"";"Baader, Ottilie: Ein steiniger Weg. Stuttgart: Dietz 1921."
"70584";"2";"6";"Julius";"Bab";"Befreiungsschlacht";"Engelhorn";"Stuttgart";"1928";"";"";"";"";"Bab, Julius: Befreiungsschlacht. Stuttgart: Engelhorn 1928."
"70585";"1";"6";"";"Babajan, M., und I. S. Rjažskaja";"Wir sprechen deutsch";"Verlagsgen, ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Babajan, M., und I. S. Rjažskaja: Wir sprechen deutsch. Moskau: Verlagsgen, ausländ. Arbeiter 1934."
"70586";"2";"6";"Isaak";"Babel";"Sämtliche Schriften";"";"";"";"";"";"";"";"Babel, Isaak: Sämtliche Schriften."
"70587";"2";"6";"Martha";"Babillotte";"Etappenmädels";"Verl. d. Wikingbücher";"Leipzig";"1919";"";"";"";"";"Babillotte, Martha: Etappenmädels. Leipzig: Verl. d. Wikingbücher 1919."
"70588";"2";"6";"Egon";"Back";"Die Wiedererweckung Oesterreichs";"Selbstverl.";"Wien";"1935";"";"";"";"";"Back, Egon: Die Wiedererweckung Oesterreichs. Wien: Selbstverl. 1935."
"70589";"2";"6";"";"";"Backfische von heute.";"";"Frankfurt";"1919";"";"";"";"";"Backfische von heute. Frankfurt 1919."
"70590";"2";"6";"Fritz";"Backhaus";"Exportförderung u. Umsatzsteuer";"Dt. Betriebswirte-Verl.";"Berlin";"1937";"";"";"";"";"Backhaus, Fritz: Exportförderung u. Umsatzsteuer. Berlin: Dt. Betriebswirte-Verl. 1937."
"70591";"2";"6";"Aleksej E.";"Badajew";"Die Bolschewiki in der Reichsduma";"Mopr-Verl.";"Berlin";"1932";"";"";"";"";"Badajew, Aleksej E.: Die Bolschewiki in der Reichsduma. Berlin: Mopr-Verl. 1932."
"70592";"1";"6";"Aleksej E.";"Badajew";"Moskaus Brotfabriken";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Badajew, Aleksej E.: Moskaus Brotfabriken. Moskau: Verlagsgen. ausländ. Arbeiter 1934."
"70593";"2";"6";"Hans";"Baecker";"Von deutscher Wirklichkeit und ihrer Bahn";"Widerstands-Verl.";"Berlin";"1934";"";"";"";"";"Baecker, Hans: Von deutscher Wirklichkeit und ihrer Bahn. Berlin: Widerstands-Verl. 1934."
"70594";"2";"6";"";"";"Baenkelbuch. Hrsg. von Erich Singer";"Tal";"Leipzig";"1920";"";"";"";"";"Baenkelbuch. Hrsg. von Erich Singer. Leipzig: Tal 1920."
"70595";"1";"6";"Konrad";"Baenninger";"Nimmer vergeht der Mensch";"Oprecht";"Zürich";"1938";"";"";"";"";"Baenninger, Konrad: Nimmer vergeht der Mensch. Zürich: Oprecht 1938."
"70596";"2";"6";"Rudolf";"Baer";"Aus Adolf Hitlers Kinderzeit";"Pfau";"Leipzig";"1933";"";"";"";"";"Baer, Rudolf: Aus Adolf Hitlers Kinderzeit. Leipzig: Pfau 1933."
"70597";"2";"6";"Emil";"Baeuerle";"So sollst du leben, mit Heil- u. Lebenswerten dich ernähren";"Lebensweiser-Verl.";"Gettenbach";"1928";"";"";"";"";"Baeuerle, Emil: So sollst du leben, mit Heil- u. Lebenswerten dich ernähren. Gettenbach: Lebensweiser-Verl. 1928."
"70598";"2";"6";"Emil";"Baeuerle";"Sonnen-Vitamin als Nahrung";"Lebensweiser-Verl.";"Gettenbach";"1928";"";"";"";"";"Baeuerle, Emil: Sonnen-Vitamin als Nahrung. Gettenbach: Lebensweiser-Verl. 1928."
"70599";"2";"6";"Gertrud";"Baeumer";"Grundlagen demokratischer Politik";"Braun";"Karlsruhe";"1928";"";"";"";"";"Baeumer, Gertrud: Grundlagen demokratischer Politik. Karlsruhe: Braun 1928."
"70600";"2";"6";"André";"Baillon";"Die Geschichte einer Marie";"Herz-Verl.";"Berlin";"1924";"";"";"";"";"Baillon, André: Die Geschichte einer Marie. Berlin: Herz-Verl. 1924."
"70601";"1";"6";"Jacques";"Bainville";"Les Dictateurs";"Denoël et Steele";"Paris";"1936";"";"";"";"";"Bainville, Jacques: Les Dictateurs. Paris: Denoël et Steele 1936."
"70602";"2";"6";"Josephine";"Baker";"Memoiren";"Meyer & Jessen";"München";"1928";"";"";"";"";"Baker, Josephine: Memoiren. München: Meyer & Jessen 1928."
"70603";"2";"6";"Michael";"Bakunin";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bakunin, Michael: Sämtliche Schriften."
"70604";"2";"6";"Angelica";"Balabanoff";"Sämtliche Schriften";"";"";"";"";"";"";"";"Balabanoff, Angelica: Sämtliche Schriften."
"70605";"2";"6";"Bela";"Balázs";"Hans Urian geht nach Brot";"Reichard";"Freiburg i.Br.";"1929";"";"";"";"";"Balázs, Bela: Hans Urian geht nach Brot. Freiburg i/Br.: Reichard 1929."
"70606";"1";"6";"Bela";"Balázs";"Karlchen, durchhalten!";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1936";"";"";"";"";"Balázs, Bela: Karlchen, durchhalten! Moskau: Verlagsgen. ausländ. Arbeiter 1936."
"70607";"2";"6";"Bela";"Balázs";"Unmögliche Menschen";"Rütten & Loening";"Frankfurt";"1930";"";"";"";"";"Balázs, Bela: Unmögliche Menschen. Frankfurt: Rütten & Loening 1930."
"70608";"2";"6";"Bela";"Balázs";"Der Phantasie-Reiseführer";"Zsolnay";"Wien";"1925";"";"";"";"";"Balázs, Bela: Der Phantasie-Reiseführer. Wien: Zsolnay 1925."
"70609";"2";"6";"Hans";"Baldur";"Guck-Guck";"Speka-Verl.";"Leipzig";"1920";"";"";"";"";"Baldur, Hans: Guck-Guck. Leipzig: Speka-Verl. 1920."
"70610";"1";"6";"Stanley";"Baldwin";"Freiheit und Friede";"Vita Nova-Verl.";"Luzern";"1936";"";"";"";"";"Baldwin, Stanley: Freiheit und Friede. Luzern: Vita Nova Verl. 1936."
"70611";"2";"6";"Theodor";"Balk";"Sämtliche Schriften";"";"";"";"";"";"";"";"Balk, Theodor: Sämtliche Schriften."
"70612";"2";"6";"Hans";"Balke";"Das Alte Testament heute";"Westdt. Lutherverl.";"Witten";"1935";"";"";"";"";"Balke, Hans: Das Alte Testament heute. Witten: Westdt. Lutherverl. 1935."
"70613";"2";"6";"Carl";"Ballod";"Der Bankerott der freien Wirtschaft";"Thüringer Verl.-Anst.";"Jena";"1923";"";"";"";"";"Ballod, Carl: Der Bankerott der freien Wirtschaft. Jena: Thüringer Verl.-Anst. 1923."
"70614";"2";"6";"Oskar";"Bam";"Der Krieg um Genf";"Reinhold-Verl.";"Wien";"1936";"";"";"";"";"Bam, Oskar: Der Krieg um Genf. Wien: Reinhold-Verl. 1936."
"70615";"2";"8";"Franz";"Barwich";"Der kommunistische Aufbau des Syndikalismus";"Kater";"Berlin";"1920";"";"";"";"";"Barwich, Franz: Der kommunistische Aufbau des Syndikalismus. Berlin: Kater 1920."
"70616";"2";"8";"Franz";"Barwich";"Irrlehre und Wissenschaftslosigkeit des Marxismus";"Kater";"Berlin";"1920";"";"";"";"";"Barwich, Franz: Irrlehre und Wissenschaftslosigkeit des Marxismus. Berlin: Kater 1920."
"70617";"1";"8";"Ernst";"Basch";"Unpolitische Beobachtungen";"Oprecht & Helbling";"Zürich";"1934";"";"";"";"";"Basch, Ernst: Unpolitische Beobachtungen. Zürich: Oprecht & Helbling 1934."
"70618";"1";"8";"";"Basiljewitsch, L. I., S. M. Frumkina u. W. N. Klujewa";"Lehrbuch der russ. Sprache für deutsche Arbeiter";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1933";"";"";"";"";"Basiljewitsch, L. I., S. M. Frumkina u. W. N. Klujewa: Lehrbuch der russ. Sprache für deutsche Arbeiter. Moskau: Verlagsgen. ausländ. Arbeiter 1933."
"70619";"2";"8";"Nikolaus";"Basseches";"Das wirtschaftliche Gesicht der Sowjet-Union";"Gerold";"Wien";"1925";"";"";"";"";"Basseches, Nikolaus: Das wirtschaftliche Gesicht der Sowjet-Union. Wien: Gerold 1925."
"70620";"2";"8";"Thomas";"Bata";"Wort und Tat";"Verl. »Tisk«";"Zlin";"1936";"";"";"";"";"Bata, Thomas: Wort und Tat. Zlin: Verl. »Tisk« 1936."
"70621";"2";"8";"Wladimir";"Batkis";"Die Sexualrevolution in Russland";"Kater";"Berlin";"1925";"";"";"";"";"Batkis, Wladimir: Die Sexualrevolution in Russland. Berlin: Kater 1925."
"70622";"2";"8";"Karl";"Bau";"Zur Volkseinheit";"Selbstverl.";"Köln";"1933";"";"";"";"";"Bau, Karl: Zur Volkseinheit. Köln: Selbstverl. 1933."
"70623";"2";"8";"Bernhard Adam";"Bauer";"Komödiantin-Dirne?";"Fiba";"Wien";"1926";"";"";"";"";"Bauer, Bernhard Adam: Komödiantin-Dirne? Wien: Fiba 1926."
"70624";"2";"8";"Bernhard Adam";"Bauer";"Wie bist Du, Weib?";"Viktoria-Verl.";"Wien";"1928";"";"";"";"";"Bauer, Bernhard Adam: Wie bist Du, Weib? Wien: Viktoria-Verl. 1928."
"70625";"2";"8";"Ludwig";"Bauer";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bauer, Ludwig: Sämtliche Schriften."
"70626";"2";"8";"Max";"Bauer";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bauer, Max: Sämtliche Schriften."
"70627";"2";"8";"Otto";"Bauer";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bauer, Otto: Sämtliche Schriften."
"70628";"2";"8";"Viktor";"Bauer";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bauer, Viktor: Sämtliche Schriften."
"70629";"2";"8";"Walter";"Bauer";"Sämtliche Schriften (vor 1933)";"";"";"";"";"";"";"";"Bauer, Walter: Sämtliche Schriften (vor 1933)."
"70630";"2";"8";"Friedrich";"Bauermeister";"Vom Klassenkampf der Jugend";"Diederichs";"Jena";"1916";"";"";"";"";"Bauermeister, Friedrich: Vom Klassenkampf der Jugend. Jena: Diederichs 1916."
"70631";"2";"8";"Vicki";"Baum";"Sämtliche Schriften";"";"";"";"";"";"";"";"Baum, Vicki: Sämtliche Schriften."
"70632";"2";"8";"Rudolf";"Baumgardt";"Der Kardinal";"Georg Müller";"München";"1928";"";"";"";"";"Baumgardt, Rudolf: Der Kardinal. München: Georg Müller 1928."
"70633";"2";"8";"Bernhard";"Bavink";"Organische Staatsauffassung u. Eugenik";"Metzner";"Berlin";"1933";"";"";"";"";"Bavink, Bernhard: Organische Staatsauffassung u. Eugenik. Berlin: Metzner 1933."
"70634";"2";"0";"Heinrich Banniza von";"Bazan";"s. Banniza von Bazan, Heinrich";"";"";"";"";"";"";"";"Bazan, Heinrich Banniza von s. Banniza von Bazan, Heinrich."
"70635";"2";"8";"Walter";"Beamt";"Das erste Weib";"Kiepenheuer";"Potsdam";"1924";"";"";"";"";"Beamt, Walter: Das erste Weib. Potsdam: Kiepenheuer 1924."
"70636";"2";"8";"August";"Bebel";"Sämtliche Schriften";"";"";"";"";"";"";"";"Bebel, August: Sämtliche Schriften."
"70637";"2";"8";"Johannes Robert";"Becher";"Sämtliche Schriften";"";"";"";"";"";"";"";"Becher, Johannes Robert: Sämtliche Schriften."
"70638";"1";"8";"Ulrich";"Becher";"Die Eroberer";"Oprecht";"Zürich";"1936";"";"";"";"";"Becher, Ulrich: Die Eroberer. Zürich: Oprecht 1936."
"70639";"2";"8";"Maximilian";"Beck";"Sämtliche Schriften";"";"";"";"";"";"";"";"Beck, Maximilian: Sämtliche Schriften."
"70640";"2";"8";"";"Becker & Co.";"Das Ende der Wirtschaft. Die Weltkapitalisten am Ziel";"Ludendorff-Verl.";"München";"1931";"";"";"";"";"Becker & Co.: Das Ende der Wirtschaft. Die Weltkapitalisten am Ziel. München: Ludendorff-Verl. 1931."
"70641";"2";"8";"";"Becker & Co.";"Zukunft der deutschen Wirtschaft";"Ludendorff-Verl. o. J";"München";"";"";"";"";"";"Becker & Co.: Zukunft der deutschen Wirtschaft. München: Ludendorff-Verl. o. J."
"70642";"2";"8";"Bernhard";"Becker";"Sämtliche Schriften";"";"";"";"";"";"";"";"Becker, Bernhard: Sämtliche Schriften."
"70643";"2";"8";"Heinz";"Becker";"Das dritte, das »goldene« Reich";"Holland";"Neumarkt";"1931";"";"";"";"";"Becker, Heinz: Das dritte, das »goldene« Reich. Neumarkt: Holland 1931."
"70644";"2";"8";"Michel";"Becker";"Wallfahrt zum Kreuz";"Höfling";"München";"1933";"";"";"";"";"Becker, Michel: Wallfahrt zum Kreuz. München: Höfling 1933."
"70645";"2";"8";"Otto";"Becker";"Die Geldrätsel";"Selbstverl.";"Liegnitz";"1934";"";"";"";"";"Becker, Otto: Die Geldrätsel. Liegnitz: Selbstverl. 1934."
"70646";"2";"8";"Hans";"Beckers";"Wie ich zum Tode verurteilt wurde";"Oldenburg";"Leipzig";"1928";"";"";"";"";"Beckers, Hans: Wie ich zum Tode verurteilt wurde. Leipzig: Oldenburg 1928."
"70647";"2";"10";"Hans";"Berg";"Nationalsozialist und Christ?";"»In alle Welt«-Verl.";"Neustrelitz";"1932";"";"";"";"";"Berg, Hans: Nationalsozialist und Christ? Neustrelitz: »In alle Welt«-Verl. 1932."
"70648";"2";"10";"Siegfried";"Bergengruen";"Grit hat die Wahl";"Eden-Verl.";"Berlin";"1934";"";"";"";"";"Bergengruen, Siegfried: Grit hat die Wahl. Berlin: Eden-Verl. 1934."
"70649";"2";"10";"Siegfried";"Bergengruen";"Männer machen die Geschichte";"Verl. Deutsches Volksbuch";"Berlin";"1933";"";"";"";"";"Bergengruen, Siegfried: Männer machen die Geschichte. Berlin: Verl. Deutsches Volksbuch 1933."
"70650";"2";"10";"Siegfried";"Berger";"Vertrauen. Polit. Gespräch zum 11. August";"Schnelle";"Bad Pyrmont";"1929";"";"";"";"";"Berger, Siegfried: Vertrauen. Polit. Gespräch zum 11. August. Bad Pyrmont: Schnelle 1929."
"70651";"2";"10";"Ludwig";"Bergfeld";"Seliges Verstehen";"Kater";"Berlin";"1925";"";"";"";"";"Bergfeld, Ludwig: Seliges Verstehen. Berlin: Kater 1925."
"70652";"2";"10";"Ludwig";"Bergfeld";"Werde sehend, liebe Schwester";"Der Syndikalist";"Berlin";"1920";"";"";"";"";"Bergfeld, Ludwig: Werde sehend, liebe Schwester. Berlin: Der Syndikalist 1920."
"70653";"2";"10";"Franz";"Bergg";"Ein Proletarierleben";"Neuer Frankf. Verl.";"Frankfurt a.M.";"1913";"";"";"";"";"Bergg, Franz ~. Ein Proletarierleben. Frankfurt a/M.: Neuer Frankf. Verl. 1913."
"70654";"2";"10";"Stephan";"Berghoff";"Zuchthäusler Schmitter";"Johannes-Verl.";"Leutesdorf";"1929";"";"";"";"";"Berghoff, Stephan: Zuchthäusler Schmitter. Leutesdorf: Johannes-Verl. 1929."
