"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"74198";"1";"91";"Dimitri S.";"Manuilski";"Die Ergebnisse des 7. Weltkongresses der kommun. Internationale";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Manuilski, Dimitri S.: Die Ergebnisse des 7. Weltkongresses der kommun. Internationale. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"74199";"1";"91";"Dimitri S.";"Manuilski";"Die revolutionäre Krise reift heran";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";"";"";"";"";"Manuilski, Dimitri S.: Die revolutionäre Krise reift heran. Moskau: Verlagsgen. ausländ. Arbeiter 1934."
"74200";"1";"91";"Dimitri S.";"Manuilski";"Der Sieg des Sozialismus in der Sowjetunion und seine weltgeschichtliche Bedeutung";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Manuilski, Dimitri S.: Der Sieg des Sozialismus in der Sowjetunion und seine weltgeschichtliche Bedeutung. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"74201";"1";"91";"Dimitri S.";"Manuilski";"Die Sowjetunion und das Weltproletariat";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1932";"";"";"";"";"Manuilski, Dimitri S.: Die Sowjetunion und das Weltproletariat. Moskau: Verlagsgen. ausländ. Arbeiter 1932."
"74202";"1";"91";"Dimitri S.";"Manuilski";"Über die kapitalistische Umkreisung und die trotzkistischen Reserven";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1937";"";"";"";"";"Manuilski, Dimitri S.: Über die kapitalistische Umkreisung und die trotzkistischen Reserven. Moskau: Verlagsgen. ausländ. Arbeiter 1937."
"74203";"2";"91";"";"Márai, Sandor, und László Dormándi";"1910—1930. Zwanzig Jahre Weltgeschichte in 700 Bildern";"Transmare-Verl.";"Berlin";"1931";"";"";"";"";"Márai, Sandor, und László Dormándi: 1910—1930. Zwanzig Jahre Weltgeschichte in 700 Bildern. Berlin: Transmare-Verl. 1931."
"74204";"2";"91";"Friedrich";"Marby";"Ist Hypnose schädlich?";"Marby-Verl.";"Stuttgart";"1924";"";"";"";"";"Marby, Friedrich: Ist Hypnose schädlich? Stuttgart: Marby-Verl. 1924."
"74205";"2";"91";"Friedrich";"Marby";"Die Kreuzesform in Fleisch und Blut";"Marby-Verl.";"Stuttgart";"1924";"";"";"";"";"Marby, Friedrich: Die Kreuzesform in Fleisch und Blut. Stuttgart: Marby-Verl. 1924."
"74206";"2";"91";"Friedrich";"Marby";"Aus dem Liebes- und Geschlechtsleben des Weibes";"Marby-Verl.";"Stuttgart";"1924";"";"";"";"";"Marby, Friedrich: Aus dem Liebes- und Geschlechtsleben des Weibes. Stuttgart: Marby-Verl. 1924."
"74207";"2";"91";"Friedrich";"Marby";"Runen raunen richtig Rat";"Marby-Verl.";"Stuttgart";"1934";"";"";"";"";"Marby, Friedrich: Runen raunen richtig Rat. Stuttgart: Marby-Verl. 1934."
"74208";"2";"91";"Friedrich";"Marby";"Die Sprache des Kopfes";"Marby-Verl.";"Stuttgart";"1924";"";"";"";"";"Marby, Friedrich: Die Sprache des Kopfes. Stuttgart: Marby-Verl. 1924."
"74209";"1";"91";"H. P.";"Marchant";"Een staatkundige epidemie";"Teulings";"s'Hertogenbosch";"1936";"";"";"";"";"Marchant, H. P.: Een staatkundige epidemie. s'Hertogenbosch: Teulings 1936."
"74210";"2";"91";"Karl";"Marchionini";"Sämtliche Schriften";"";"";"";"";"";"";"";"Marchionini, Karl: Sämtliche Schriften."
"74211";"2";"91";"Hans";"Marchwitza";"Sämtliche Schriften";"";"";"";"";"";"";"";"Marchwitza, Hans: Sämtliche Schriften."
