Stimmart;Adresse;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;"Abgeordneten-
hauswahlkreis";"Bundestags-
wahlkreis";OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wähler;"darunter
Wähler B1
(bei endgültigem Ergebnis)";Ungültige Stimmen;Gültige Stimmen;SPD;CDU;GRÜNE;DIE LINKE;AfD;PIRATEN;FDP;Tierschutzpartei;Die PARTEI;NPD;FAMILIE;Volksabstimmung;ÖDP;FREIE WÄHLER;DKP;MLPD;SGP;BP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W115;01;Mitte;115;Urnenwahlbezirk;01;75;O;893;691;202;0;404;13;4;400;36;47;131;46;35;3;25;10;21;2;1;0;3;1;0;0;0;0;0;2;1;0;1;0;8;0;0;0;1;1;4;5;0;2;1;2;2;0;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W116;01;Mitte;116;Urnenwahlbezirk;01;75;O;733;530;203;0;355;4;2;353;37;47;135;34;26;3;25;5;12;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;11;0;1;0;0;0;1;0;1;0;0;1;3;0;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W117;01;Mitte;117;Urnenwahlbezirk;01;75;O;1 545;1 124;421;0;791;7;0;791;96;64;357;64;27;7;43;11;38;1;2;1;8;1;1;0;0;0;1;0;1;0;0;1;23;0;1;0;1;1;0;0;3;0;0;4;2;2;1;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W118;01;Mitte;118;Urnenwahlbezirk;01;75;O;1 214;893;321;0;615;13;1;614;66;47;293;54;23;4;30;8;41;0;1;0;2;0;2;0;0;0;0;0;1;0;0;0;15;0;1;0;0;1;0;1;1;1;0;0;0;0;1;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W119;01;Mitte;119;Urnenwahlbezirk;01;75;O;920;680;240;0;494;14;1;493;46;36;232;47;19;3;28;4;21;0;0;0;5;4;1;0;1;1;0;1;0;0;0;0;17;0;0;0;1;0;1;0;0;1;1;0;0;2;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W120;01;Mitte;120;Urnenwahlbezirk;01;75;O;1 088;782;306;0;527;12;2;525;66;37;223;52;26;5;31;3;36;0;2;1;6;2;1;1;0;0;1;0;0;0;2;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W121;01;Mitte;121;Urnenwahlbezirk;01;75;O;1 122;797;325;0;553;12;1;552;59;43;265;41;24;5;36;5;22;0;1;0;5;0;0;0;0;0;0;0;0;0;1;0;14;0;3;0;0;0;1;0;0;0;0;1;1;1;2;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W122;01;Mitte;122;Urnenwahlbezirk;01;75;O;1 202;874;328;0;631;22;0;631;58;72;271;68;11;4;46;4;34;0;0;0;7;2;2;0;0;0;0;0;0;0;0;0;27;0;1;0;1;0;1;1;0;1;1;3;0;0;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W123;01;Mitte;123;Urnenwahlbezirk;01;75;O;988;714;274;0;489;8;0;489;54;44;210;33;21;3;46;4;24;0;0;0;5;1;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;1;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W200;01;Mitte;200;Urnenwahlbezirk;02;75;O;885;683;202;0;357;4;5;352;47;57;68;51;53;3;22;4;15;1;1;0;2;3;1;0;0;0;0;1;0;1;1;1;2;0;2;0;2;0;1;1;3;1;2;0;0;0;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
